rank,prev_rank,name,league,off,def,spi
319,319,Puebla,Mexican Primera Division Torneo Apertura,1.17,1.44,39.42
320,320,Botafogo,Brasileiro Série A,1.03,1.27,39.41
321,321,FC Tokyo,Japanese J League,0.98,1.21,39.39
322,315,Sydney FC,Australian A-League,1.33,1.63,39.31
323,346,KV Mechelen,Belgian Jupiler League,1.21,1.5,39.14
324,323,KV Kortrijk,Belgian Jupiler League,1.25,1.54,39.13
325,325,FC Luzern,Swiss Raiffeisen Super League,1.25,1.55,38.96
326,359,Benevento,Italy Serie B,1.04,1.31,38.93
327,326,Troyes,French Ligue 2,0.98,1.23,38.85
328,327,Panathinaikos,Greek Super League,0.96,1.21,38.8
329,328,OFI Crete,Greek Super League,1.15,1.45,38.76
330,329,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
331,330,Belenenses,Portuguese Liga,1.08,1.36,38.67
332,331,Desportivo Aves,Portuguese Liga,1.11,1.4,38.65
333,332,Henan Jianye,Chinese Super League,1.25,1.57,38.55
334,334,Minnesota United FC,Major League Soccer,1.25,1.58,38.54
335,333,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.23,1.56,38.43
336,335,Hartberg,Austrian T-Mobile Bundesliga,1.52,1.9,38.41
337,336,Maritimo,Portuguese Liga,1.06,1.36,38.26
338,338,Kaizer Chiefs,South African ABSA Premier League,1.1,1.41,38.24
339,339,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
340,361,Charlton Athletic,English League Championship,1.23,1.57,38.02
341,341,ADO Den Haag,Dutch Eredivisie,1.38,1.76,38.0
342,343,Holstein Kiel,German 2. Bundesliga,1.33,1.71,37.97
343,337,Caykur Rizespor,Turkish Turkcell Super Lig,1.18,1.52,37.85
344,345,Real Zaragoza,Spanish Segunda Division,1.13,1.47,37.83
345,342,Aberdeen,Scottish Premiership,1.17,1.52,37.78
346,322,Kasimpasa,Turkish Turkcell Super Lig,1.45,1.87,37.63
347,347,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
348,348,New England Revolution,Major League Soccer,1.36,1.76,37.58
349,349,Huracán,Argentina Primera Division,0.89,1.18,37.53
350,350,Toluca,Mexican Primera Division Torneo Apertura,1.09,1.43,37.46
351,351,Sporting Kansas City,Major League Soccer,1.37,1.78,37.38
352,352,SD Huesca,Spanish Segunda Division,0.99,1.31,37.36
353,353,Columbus Crew,Major League Soccer,1.12,1.47,37.36
354,354,Atlas,Mexican Primera Division Torneo Apertura,1.07,1.42,37.32
355,344,St. Truidense,Belgian Jupiler League,1.17,1.55,37.22
356,355,FC Sion,Swiss Raiffeisen Super League,1.31,1.72,37.15
357,356,Konyaspor,Turkish Turkcell Super Lig,0.97,1.31,37.11
358,340,Genclerbirligi,Turkish Turkcell Super Lig,1.31,1.73,37.04
359,357,Real Salt Lake,Major League Soccer,1.01,1.36,36.98
360,358,Colorado Rapids,Major League Soccer,1.36,1.79,36.83
361,360,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
362,362,Asteras Tripolis,Greek Super League,0.98,1.34,36.52
363,363,IFK Goteborg,Swedish Allsvenskan,1.1,1.52,36.01
364,364,Málaga,Spanish Segunda Division,0.8,1.14,35.96
365,365,Patronato,Argentina Primera Division,1.03,1.44,35.85
366,366,CSA,Brasileiro Série A,1.03,1.44,35.79
367,367,SV Sandhausen,German 2. Bundesliga,1.17,1.63,35.59
368,368,1. FC Heidenheim 1846,German 2. Bundesliga,1.07,1.51,35.53
369,369,Le Havre,French Ligue 2,1.06,1.5,35.42
370,370,Las Palmas,Spanish Segunda Division,1.06,1.49,35.41
371,371,Viking FK,Norwegian Tippeligaen,1.31,1.81,35.41
372,372,Mamelodi Sundowns,South African ABSA Premier League,0.96,1.38,35.26
373,373,Numancia,Spanish Segunda Division,0.94,1.36,35.23
374,374,Elche,Spanish Segunda Division,1.04,1.49,35.17
375,375,F91 Dudelange,UEFA Europa League,1.4,1.94,35.14
376,376,1. FC Nürnberg,German 2. Bundesliga,1.12,1.59,35.09
377,377,Jahn Regensburg,German 2. Bundesliga,1.27,1.79,35.08
378,378,DC United,Major League Soccer,1.14,1.62,35.05
379,379,Larissa,Greek Super League,0.96,1.39,35.03
380,405,Crotone,Italy Serie B,1.07,1.53,34.98
381,380,Houston Dynamo,Major League Soccer,1.23,1.74,34.92
382,385,Melbourne City,Australian A-League,1.22,1.73,34.88
383,381,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
384,384,Fuenlabrada,Spanish Segunda Division,1.01,1.48,34.44
385,386,Denizlispor,Turkish Turkcell Super Lig,1.05,1.55,34.3
386,388,Real Monarchs SLC,United Soccer League,1.46,2.08,34.09
387,389,PEC Zwolle,Dutch Eredivisie,1.31,1.89,34.08
388,390,FC Twente,Dutch Eredivisie,1.24,1.81,34.04
389,391,Haugesund,Norwegian Tippeligaen,1.1,1.63,33.89
390,392,Bidvest Wits,South African ABSA Premier League,0.96,1.45,33.86
391,393,SD Ponferradina,Spanish Segunda Division,1.01,1.51,33.83
392,382,Frosinone,Italy Serie B,0.96,1.45,33.77
393,394,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
394,396,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.0,1.51,33.68
395,397,Orlando City SC,Major League Soccer,1.22,1.79,33.65
396,383,Oxford United,English League One,1.04,1.57,33.62
397,398,FC Juárez,Mexican Primera Division Torneo Apertura,0.98,1.5,33.51
398,399,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
399,400,Consadole Sapporo,Japanese J League,1.15,1.72,33.38
400,401,Caen,French Ligue 2,0.98,1.51,33.2
401,402,VfL Osnabruck,German 2. Bundesliga,1.04,1.6,33.02
402,387,Luton Town,English League Championship,1.15,1.75,32.89
403,403,Aldosivi,Argentina Primera Division,0.87,1.37,32.87
404,404,Sporting Gijón,Spanish Segunda Division,0.8,1.28,32.83
405,406,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
406,407,Neuchatel Xamax,Swiss Raiffeisen Super League,1.11,1.71,32.58
407,408,Mirandes,Spanish Segunda Division,1.02,1.6,32.56
408,409,Colon Santa Fe,Argentina Primera Division,0.93,1.48,32.54
409,395,Motherwell,Scottish Premiership,1.07,1.67,32.42
410,410,Avaí,Brasileiro Série A,0.87,1.4,32.37
411,411,Orlando Pirates,South African ABSA Premier League,1.05,1.65,32.33
412,412,Lamia,Greek Super League,0.79,1.31,32.12
413,414,Emmen,Dutch Eredivisie,1.13,1.78,32.01
414,415,Pittsburgh Riverhounds,United Soccer League,0.97,1.56,31.99
415,416,FC St. Pauli,German 2. Bundesliga,1.01,1.61,31.96
416,417,Nashville SC,United Soccer League,0.94,1.52,31.95
417,418,Montreal Impact,Major League Soccer,1.11,1.76,31.83
418,419,Louisville City FC,United Soccer League,1.17,1.84,31.7
419,420,Clermont Foot,French Ligue 2,0.84,1.4,31.64
420,423,VfL Bochum,German 2. Bundesliga,1.15,1.84,31.21
421,421,Hibernian,Scottish Premiership,1.05,1.71,31.18
422,424,AS Nancy Lorraine,French Ligue 2,0.8,1.37,30.99
423,425,Real Oviedo,Spanish Segunda Division,0.96,1.61,30.93
424,422,Sunderland,English League One,0.93,1.57,30.86
425,426,RKC,Dutch Eredivisie,1.2,1.93,30.84
426,427,Hobro IK,Danish SAS-Ligaen,0.9,1.52,30.8
427,428,Valenciennes,French Ligue 2,0.82,1.42,30.79
428,481,Rotherham United,English League One,1.05,1.75,30.62
429,430,SV Darmstadt 98,German 2. Bundesliga,0.94,1.6,30.56
430,431,Stabaek,Norwegian Tippeligaen,0.95,1.61,30.54
431,432,SpVgg Greuther Fürth,German 2. Bundesliga,1.0,1.68,30.53
432,433,AC Ajaccio,French Ligue 2,0.74,1.32,30.53
433,434,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.12,1.85,30.5
434,436,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,0.98,1.67,30.3
435,442,Eupen,Belgian Jupiler League,0.92,1.58,30.27
436,437,SV Mattersburg,Austrian T-Mobile Bundesliga,1.16,1.92,30.19
437,438,Kristiansund BK,Norwegian Tippeligaen,1.08,1.81,30.19
438,440,IF Elfsborg,Swedish Allsvenskan,1.07,1.8,30.15
439,441,Lyngby,Danish SAS-Ligaen,1.01,1.72,30.11
440,450,Livingston,Scottish Premiership,1.02,1.74,30.05
441,453,Wellington Phoenix,Australian A-League,1.19,1.98,29.64
442,444,Melbourne Victory,Australian A-League,1.11,1.88,29.58
443,445,Vegalta Sendai,Japanese J League,0.88,1.57,29.56
444,446,Karlsruher SC,German 2. Bundesliga,1.1,1.87,29.53
445,413,KV Oostende,Belgian Jupiler League,1.02,1.77,29.39
446,447,Esbjerg,Danish SAS-Ligaen,0.94,1.67,29.36
447,448,Sonderjyske,Danish SAS-Ligaen,1.04,1.81,29.26
448,449,Odd BK,Norwegian Tippeligaen,1.04,1.81,29.21
449,457,Adelaide United,Australian A-League,1.11,1.92,28.96
450,451,Godoy Cruz,Argentina Primera Division,0.94,1.7,28.81
451,452,Tenerife,Spanish Segunda Division,0.83,1.53,28.81
452,454,Racing Santander,Spanish Segunda Division,0.86,1.58,28.71
453,455,Tampa Bay Rowdies,United Soccer League,1.0,1.79,28.71
454,468,Waasland-Beveren,Belgian Jupiler League,1.01,1.8,28.66
455,456,Grenoble,French Ligue 2,0.77,1.47,28.61
456,458,Albacete,Spanish Segunda Division,0.68,1.33,28.57
457,443,Chievo Verona,Italy Serie B,0.88,1.63,28.53
458,459,Ankaragucu,Turkish Turkcell Super Lig,1.01,1.82,28.47
459,460,Thun,Swiss Raiffeisen Super League,1.11,1.95,28.44
460,461,Urawa Red Diamonds,Japanese J League,0.96,1.74,28.44
461,463,Cittadella,Italy Serie B,0.85,1.6,28.36
462,435,Ipswich Town,English League One,0.91,1.68,28.24
463,465,Fortuna Sittard,Dutch Eredivisie,1.21,2.1,28.23
464,467,Auxerre,French Ligue 2,0.75,1.45,28.12
465,439,Antalyaspor,Turkish Turkcell Super Lig,0.98,1.79,28.07
466,469,Nagoya Grampus Eight,Japanese J League,1.01,1.84,28.06
467,470,Erzgebirge Aue,German 2. Bundesliga,0.96,1.78,27.93
468,471,Reno 1868 FC,United Soccer League,1.14,2.04,27.93
469,472,Sochaux,French Ligue 2,0.7,1.4,27.84
470,466,Western United,Australian A-League,0.94,1.77,27.56
471,473,Newcastle Jets,Australian A-League,1.12,2.03,27.45
472,462,Kilmarnock,Scottish Premiership,0.7,1.43,27.33
473,475,Extremadura UD,Spanish Segunda Division,0.68,1.4,27.31
474,464,Empoli,Italy Serie B,0.91,1.75,27.2
475,476,AD Alcorcon,Spanish Segunda Division,0.7,1.44,27.09
476,474,Portsmouth,English League One,0.94,1.81,27.04
477,535,Coventry City,English League One,0.89,1.74,27.01
478,478,Lugo,Spanish Segunda Division,0.8,1.6,26.96
479,479,Stromsgodset,Norwegian Tippeligaen,1.11,2.06,26.86
480,480,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
481,482,Silkeborg,Danish SAS-Ligaen,1.08,2.02,26.73
482,483,Deportivo La Coruña,Spanish Segunda Division,0.77,1.57,26.7
483,484,VVV Venlo,Dutch Eredivisie,1.1,2.05,26.7
484,477,Kayserispor,Turkish Turkcell Super Lig,1.05,1.99,26.57
485,485,Cercle Brugge,Belgian Jupiler League,0.99,1.9,26.52
486,486,Volos NFC,Greek Super League,0.84,1.68,26.47
487,487,Valerenga,Norwegian Tippeligaen,0.92,1.81,26.34
488,488,Shimizu S-Pulse,Japanese J League,1.07,2.03,26.23
489,511,Doncaster Rovers,English League One,0.87,1.77,26.06
490,489,St. Pölten,Austrian T-Mobile Bundesliga,0.96,1.89,26.06
491,492,Dynamo Dresden,German 2. Bundesliga,0.85,1.77,25.36
492,493,Le Mans,French Ligue 2,0.91,1.87,25.31
493,490,Spezia,Italy Serie B,0.74,1.61,25.28
494,429,Peterborough United,English League One,0.99,1.99,25.17
495,494,SV Wehen Wiesbaden,German 2. Bundesliga,0.88,1.82,25.16
496,496,SuperSport United,South African ABSA Premier League,0.69,1.54,25.08
497,497,Oita Trinita,Japanese J League,0.65,1.48,25.06
498,495,Western Sydney FC,Australian A-League,1.01,2.04,25.04
499,498,New York Red Bulls II,United Soccer League,1.2,2.31,25.01
500,499,Rodez,French Ligue 2,0.83,1.76,24.94
501,500,Veracruz,Mexican Primera Division Torneo Apertura,0.87,1.83,24.89
502,501,SK Brann,Norwegian Tippeligaen,0.74,1.65,24.63
503,491,Perugia,Italy Serie B,0.83,1.8,24.53
504,502,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.04,2.11,24.49
505,503,AC Horsens,Danish SAS-Ligaen,0.78,1.72,24.48
506,505,GIF Sundsvall,Swedish Allsvenskan,0.88,1.88,24.39
507,523,US Pescara,Italy Serie B,0.79,1.75,24.39
508,506,FC Xanthi,Greek Super League,0.62,1.48,24.21
509,513,Virtus Entella,Italy Serie B,0.72,1.65,24.15
510,508,Vancouver Whitecaps,Major League Soccer,0.93,1.98,24.08
511,509,Sagan Tosu,Japanese J League,0.74,1.69,24.05
512,510,Black Aces,South African ABSA Premier League,0.82,1.81,23.98
513,507,Fleetwood Town,English League One,0.86,1.88,23.82
514,529,Salernitana,Italy Serie B,0.78,1.76,23.82
515,515,Cremonese,Italy Serie B,0.65,1.56,23.76
516,514,Panionios,Greek Super League,0.73,1.7,23.6
517,517,Bloem Celtic,South African ABSA Premier League,0.78,1.8,23.3
518,518,Panetolikos,Greek Super League,0.69,1.65,23.3
519,528,Brisbane Roar,Australian A-League,0.99,2.12,23.26
520,519,North Carolina FC,United Soccer League,0.96,2.08,23.23
521,520,Orebro SK,Swedish Allsvenskan,0.95,2.07,23.22
522,521,Burton Albion,English League One,0.86,1.94,23.2
523,522,Orange County SC,United Soccer League,0.9,2.0,23.11
524,524,Sarpsborg,Norwegian Tippeligaen,0.72,1.73,22.96
525,525,Cosenza,Italy Serie B,0.68,1.67,22.88
526,526,Chateauroux,French Ligue 2,0.65,1.61,22.87
527,527,Indy Eleven,United Soccer League,0.64,1.61,22.77
528,530,Orléans,French Ligue 2,0.76,1.83,22.36
529,531,Shonan Bellmare,Japanese J League,0.86,1.99,22.29
530,512,Blackpool,English League One,0.71,1.76,22.25
531,562,Lincoln City,English League One,0.73,1.79,22.23
532,516,Pordenone Calcio,Italy Serie B,0.75,1.84,22.06
533,533,IK Sirius,Swedish Allsvenskan,0.84,1.98,22.06
534,534,Tromso,Norwegian Tippeligaen,1.0,2.23,22.0
535,536,Chambly Thelle FC,French Ligue 2,0.7,1.77,21.8
536,538,FC Cincinnati,Major League Soccer,0.85,2.03,21.63
537,539,Highlands Park FC,South African ABSA Premier League,0.58,1.58,21.62
538,540,San Antonio FC,United Soccer League,1.07,2.38,21.61
539,541,Paris FC,French Ligue 2,0.54,1.51,21.61
540,532,Ascoli,Italy Serie B,0.72,1.82,21.61
541,543,F.B.C Unione Venezia,Italy Serie B,0.63,1.68,21.46
542,550,Swindon Town,English League Two,0.8,1.97,21.25
543,544,Niort,French Ligue 2,0.59,1.63,21.22
544,545,Mjondalen,Norwegian Tippeligaen,0.84,2.05,21.08
545,504,Wycombe Wanderers,English League One,0.63,1.71,21.04
546,546,Östersunds FK,Swedish Allsvenskan,0.8,2.0,20.9
547,552,Accrington Stanley,English League One,0.72,1.88,20.69
548,537,Hearts,Scottish Premiership,0.68,1.82,20.61
549,547,Jubilo Iwata,Japanese J League,0.61,1.73,20.35
550,561,St Mirren,Scottish Premiership,0.66,1.81,20.35
551,548,Sacramento Republic FC,United Soccer League,0.75,1.96,20.27
552,577,Milton Keynes Dons,English League One,0.74,1.96,20.04
553,553,LA Galaxy II,United Soccer League,0.97,2.34,20.0
554,551,Ross County,Scottish Premiership,0.8,2.08,19.91
555,554,Gillingham,English League One,0.58,1.7,19.82
556,555,Austin Bold FC,United Soccer League,0.78,2.05,19.79
557,556,Ranheim,Norwegian Tippeligaen,0.87,2.19,19.77
558,557,Fresno FC,United Soccer League,0.86,2.18,19.74
559,558,El Paso Locomotive FC,United Soccer League,0.6,1.76,19.57
560,559,Helsingborgs IF,Swedish Allsvenskan,0.67,1.9,19.47
561,549,Livorno,Italy Serie B,0.64,1.84,19.46
562,560,Lillestrom,Norwegian Tippeligaen,0.71,1.96,19.42
563,564,Hamilton Academical,Scottish Premiership,0.69,1.97,18.81
564,563,Maritzburg Utd,South African ABSA Premier League,0.41,1.47,18.77
565,565,Juve Stabia,Italy Serie B,0.62,1.88,18.58
566,542,Bristol Rovers,English League One,0.65,1.92,18.57
567,573,Crewe Alexandra,English League Two,0.81,2.21,18.43
568,571,St Johnstone,Scottish Premiership,0.57,1.81,18.13
569,568,Bradford City,English League Two,0.54,1.77,17.91
570,570,New Mexico United,United Soccer League,0.82,2.29,17.79
571,567,Shrewsbury Town,English League One,0.49,1.72,17.51
572,572,Matsumoto Yamaga FC,Japanese J League,0.39,1.53,17.45
573,569,Pisa,Italy Serie B,0.6,1.96,17.06
574,574,Chippa United,South African ABSA Premier League,0.36,1.5,16.9
575,575,Charleston Battery,United Soccer League,0.59,1.94,16.89
576,576,Golden Arrows,South African ABSA Premier League,0.47,1.74,16.68
577,566,Scunthorpe,English League Two,0.63,2.06,16.45
578,580,Portland Timbers 2,United Soccer League,0.99,2.7,16.3
579,581,Polokwane City FC,South African ABSA Premier League,0.5,1.83,16.28
580,582,Loudoun United FC,United Soccer League,0.95,2.65,16.21
581,583,Ottawa Fury FC,United Soccer League,0.59,2.01,16.19
582,589,Exeter City,English League Two,0.57,1.98,16.15
583,584,Central Coast Mariners,Australian A-League,0.7,2.24,15.84
584,585,AmaZulu,South African ABSA Premier League,0.4,1.67,15.8
585,588,Colchester United,English League Two,0.55,1.98,15.61
586,579,Trapani,Italy Serie B,0.57,2.02,15.56
587,587,Plymouth Argyle,English League Two,0.56,2.01,15.5
588,578,Cheltenham Town,English League Two,0.52,1.95,15.29
589,590,AFC Wimbledon,English League One,0.52,1.97,15.2
590,592,Charlotte Independence,United Soccer League,0.6,2.19,14.44
591,593,Kalmar FF,Swedish Allsvenskan,0.47,1.95,14.35
592,594,Vasby United,Swedish Allsvenskan,0.49,1.99,14.3
593,595,Saint Louis FC,United Soccer League,0.45,1.94,13.98
594,596,Oklahoma City Energy FC,United Soccer League,0.58,2.22,13.81
595,597,Rio Grande Valley FC Toros,United Soccer League,0.58,2.22,13.81
596,598,Black Leopards,South African ABSA Premier League,0.45,1.97,13.76
597,591,Tranmere Rovers,English League One,0.58,2.25,13.49
598,599,Falkenbergs FF,Swedish Allsvenskan,0.57,2.24,13.42
599,600,Baroka FC,South African ABSA Premier League,0.29,1.65,13.35
600,586,Northampton Town,English League Two,0.53,2.17,13.3
601,604,Rochdale,English League One,0.52,2.22,12.68
602,609,Salford City,English League Two,0.49,2.15,12.61
603,602,Las Vegas Lights FC,United Soccer League,0.57,2.39,12.05
604,603,Mansfield Town,English League Two,0.5,2.26,11.88
605,601,Forest Green Rovers,English League Two,0.28,1.8,11.6
606,605,Hartford Athletic,United Soccer League,0.78,2.88,11.42
607,606,Stellenbosch FC,South African ABSA Premier League,0.34,1.96,11.41
608,608,Bolton,English League One,0.52,2.37,11.27
609,612,Southend United,English League One,0.64,2.76,10.24
610,610,Swope Park Rangers,United Soccer League,0.68,2.87,9.98
611,611,Birmingham Legion FC,United Soccer League,0.39,2.26,9.95
612,613,Bethlehem Steel FC,United Soccer League,0.71,2.98,9.62
613,607,Oldham Athletic,English League Two,0.37,2.32,9.13
614,615,Atlanta United 2,United Soccer League,0.62,2.88,9.09
615,616,Tacoma Defiance,United Soccer League,0.57,2.78,9.08
616,617,Memphis 901 FC,United Soccer League,0.32,2.23,8.92
617,626,Crawley Town,English League Two,0.35,2.31,8.88
618,618,Newport County,English League Two,0.2,1.93,8.72
619,619,Tulsa Roughnecks,United Soccer League,0.47,2.63,8.56
620,614,Leyton Orient,English League Two,0.39,2.48,8.33
621,621,Port Vale,English League Two,0.26,2.16,8.29
622,625,Walsall,English League Two,0.24,2.19,7.64
623,623,Grimsby Town,English League Two,0.2,2.1,7.56
624,622,Stevenage,English League Two,0.2,2.1,7.54
625,620,Cambridge United,English League Two,0.22,2.19,7.25
626,624,Macclesfield,English League Two,0.2,2.21,6.91
627,627,Carlisle United,English League Two,0.21,2.38,6.08
628,628,Colorado Springs Switchbacks FC,United Soccer League,0.2,2.45,5.6
629,629,Morecambe,English League Two,0.2,2.49,5.39
